group_id,group_number,time,particles,is_alive,longitude,latitude,geometry,month
6,06062,2023-05-06 00:00:00,460,1.0,-83.54443,45.35781,POINT (1071292.6401054591 976892.6130078896),2023-05
6,06063,2023-05-06 00:00:00,461,1.0,-83.545135,45.357582,POINT (1071238.033381665 976866.5090947371),2023-05
6,06064,2023-05-03 12:00:00,462,1.0,-83.54422,45.35754,POINT (1071309.6894814358 976862.6494485645),2023-05
6,06070,2023-05-06 00:00:00,468,1.0,-83.54413,45.35792,POINT (1071316.3679833522 976905.1998283305),2023-05
6,06072,2023-05-06 00:00:00,470,1.0,-83.5448,45.35761,POINT (1071264.2541526856 976869.7795582222),2023-05
6,06075,2023-05-03 12:00:00,473,1.0,-83.54501,45.357048,POINT (1071248.2543471416 976807.1605135815),2023-05
7,07017,2023-05-02 18:00:00,493,1.0,-83.544525,45.357777,POINT (1071285.523168468 976888.7095718615),2023-05
7,07018,2023-05-02 18:00:00,494,1.0,-83.54474,45.357475,POINT (1071269.196212708 976854.9694842126),2023-05
7,07041,2023-05-01 00:00:00,517,1.0,-83.82953,45.432903,POINT (1048929.95451282 985039.683422545),2023-05
7,07068,2023-05-02 12:00:00,544,1.0,-83.60791,45.36143,POINT (1066323.9040497658 977241.2984039872),2023-05
7,07078,2023-05-01 06:00:00,554,1.0,-83.82941,45.432907,POINT (1048939.4858773616 985040.1824387559),2023-05
9,09004,2023-05-02 06:00:00,564,1.0,-83.54291,45.356346,POINT (1071413.8307539332 976730.8863258838),2023-05
9,09007,2023-05-02 00:00:00,567,1.0,-83.58334,45.353485,POINT (1068254.7411442734 976377.229835479),2023-05
9,09013,2023-05-02 06:00:00,573,1.0,-83.54416,45.355415,POINT (1071317.1466352758 976626.1505837399),2023-05
9,09048,2023-05-01 18:00:00,608,1.0,-83.61453,45.36372,POINT (1065803.337818744 977490.6719763812),2023-05
9,09049,2023-05-02 06:00:00,609,1.0,-83.54492,45.354836,POINT (1071258.2068111452 976560.9207707406),2023-05
9,09055,2023-05-02 12:00:00,615,1.0,-83.490326,45.355724,POINT (1075527.1426510555 976709.7343558909),2023-05
9,09056,2023-05-10 18:00:00,616,1.0,-83.36677,45.18337,POINT (1085450.7803120124 957645.9020059613),2023-05
9,09057,2023-05-02 12:00:00,617,1.0,-83.48953,45.35632,POINT (1075588.4037409758 976776.7318021539),2023-05
9,09060,2023-05-02 06:00:00,620,1.0,-83.5423,45.356907,POINT (1071460.857500844 976793.8584755316),2023-05
9,09063,2023-05-02 12:00:00,623,1.0,-83.49006,45.35695,POINT (1075546.3891374292 976846.3102024621),2023-05
9,09064,2023-05-17 18:00:00,624,1.0,-83.37507,45.19693,POINT (1084779.2893337158 959146.775363609),2023-05
9,09065,2023-05-02 18:00:00,625,1.0,-83.45093,45.31962,POINT (1078658.8031799383 972727.8984352342),2023-05
9,09066,2023-05-10 18:00:00,626,1.0,-83.367195,45.1841,POINT (1085416.1587923826 957726.9822320614),2023-05
9,09067,2023-05-02 18:00:00,627,1.0,-83.491516,45.354652,POINT (1075435.4880655135 976589.2789986543),2023-05
9,09072,2023-05-02 18:00:00,632,1.0,-83.45062,45.31943,POINT (1078682.9469577621 972707.3878778239),2023-05
9,09087,2023-05-02 06:00:00,647,1.0,-83.54477,45.35613,POINT (1071268.509043901 976705.0263849212),2023-05
9,09092,2023-05-02 12:00:00,652,1.0,-83.4913,45.35487,POINT (1075451.9056913855 976613.6867843398),2023-05
10,10000,2023-05-01 18:00:00,661,1.0,-83.54346,45.35648,POINT (1071370.699200582 976745.2625325143),2023-05
