group_number,group_id,longitude,latitude,time,particles,geometry,index_right,ID,GRIDCODE,Wetland,Shape_Area,Shape_Len,start_lat,start_lon
005,0,-83.54501,45.354725,2023-09-14 12:00:00,5,POINT (-83.54501342773438 45.3547248840332),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
006,0,-84.02713,45.496418,2023-09-12 00:00:00,6,POINT (-84.02713012695312 45.49641799926758),32,12665,15,Emergent Wetland,243728.557694,4507.94289755,45.4966678729,-84.0271342199
018,0,-83.81418,45.42403,2023-09-14 06:00:00,18,POINT (-83.81417846679688 45.42403030395508),160,38035,15,Emergent Wetland,50435.8723767,1066.21058446,45.4242073767,-83.8138944519
027,0,-84.13107,45.565197,2023-01-13 06:00:00,27,POINT (-84.13107299804688 45.5651969909668),0,4592,15,Emergent Wetland,122693.457158,2132.42298768,45.5649091885,-84.1303563403
037,0,-83.968994,45.49509,2023-09-13 00:00:00,37,POINT (-83.968994140625 45.49509048461914),73,13520,15,Emergent Wetland,307618.730946,4672.35683867,45.4945823946,-83.9674749807
041,0,-83.49106,45.35652,2023-08-20 06:00:00,41,POINT (-83.49105834960938 45.35652160644531),203,75147,23,Shrub Wetland,2218065.25951,20098.900505,45.3530208369,-83.4899152567
1000,10,-83.61493,45.363503,2023-04-01 06:00:00,358,POINT (-83.61492919921875 45.363502502441406),187,67769,23,Shrub Wetland,270715.70174,4671.8701162,45.3633122584,-83.6158966549
10000,100,-82.69974,43.936382,2023-07-21 18:00:00,3866,POINT (-82.69973754882812 43.93638229370117),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10002,100,-82.61334,43.743774,2023-07-04 06:00:00,3868,POINT (-82.61334228515625 43.7437744140625),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10004,100,-82.61655,43.76331,2023-07-20 06:00:00,3870,POINT (-82.61654663085938 43.763309478759766),3361,794500,18,Phragmites,2081250.88047,18875.0637708,43.7614476855,-82.6173597452
10005,100,-82.65115,43.864,2023-07-19 00:00:00,3871,POINT (-82.65115356445312 43.86399841308594),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10008,100,-82.53458,43.370415,2023-06-04 06:00:00,3874,POINT (-82.53457641601562 43.37041473388672),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
1001,10,-83.580475,45.35057,2023-01-01 00:00:00,359,POINT (-83.58047485351562 45.35057067871094),211,81409,23,Shrub Wetland,12086676.545,74549.8196307,45.3452117347,-83.5819892159
10010,100,-82.62482,43.802742,2023-07-04 18:00:00,3876,POINT (-82.62481689453125 43.80274200439453),2982,751158,18,Phragmites,302848.751582,4266.74221296,43.803574969,-82.6249860318
10011,100,-82.5347,43.37051,2023-06-04 06:00:00,3877,POINT (-82.53469848632812 43.37051010131836),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10014,100,-82.53555,43.365513,2023-03-03 18:00:00,3880,POINT (-82.53555297851562 43.36551284790039),4296,1224080,18,Phragmites,227145.469016,3611.69285775,43.3660356392,-82.5360144639
10017,100,-82.53482,43.370533,2023-03-03 12:00:00,3883,POINT (-82.53482055664062 43.37053298950195),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10023,100,-82.92404,44.069237,2023-07-24 12:00:00,3889,POINT (-82.92404174804688 44.069236755371094),1470,627618,18,Phragmites,13175321.9903,96448.3195328,44.0585287625,-82.8992577071
10026,100,-82.53409,43.37082,2023-01-04 06:00:00,3892,POINT (-82.53408813476562 43.370819091796875),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10027,100,-82.63495,43.830627,2023-07-04 06:00:00,3893,POINT (-82.63494873046875 43.83062744140625),2710,727212,18,Phragmites,1017903.22719,11896.005568,43.8324647105,-82.6353850954
10028,100,-82.6098,43.737465,2023-07-04 00:00:00,3894,POINT (-82.60980224609375 43.737464904785156),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
1003,10,-83.54523,45.354576,2023-02-01 12:00:00,361,POINT (-83.54522705078125 45.354576110839844),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1004,10,-83.539276,45.35746,2023-03-08 12:00:00,362,POINT (-83.53927612304688 45.357460021972656),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1005,10,-83.5455,45.35467,2023-01-01 12:00:00,363,POINT (-83.54550170898438 45.354671478271484),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1006,10,-83.54227,45.35686,2023-01-01 12:00:00,364,POINT (-83.54226684570312 45.35686111450195),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1007,10,-83.54434,45.35523,2023-01-01 12:00:00,365,POINT (-83.54434204101562 45.355228424072266),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1009,10,-83.58249,45.35257,2023-01-01 00:00:00,367,POINT (-83.58248901367188 45.352569580078125),211,81409,23,Shrub Wetland,12086676.545,74549.8196307,45.3452117347,-83.5819892159
1010,10,-83.544495,45.356667,2023-05-01 18:00:00,368,POINT (-83.54449462890625 45.356666564941406),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
10100,101,-82.61197,43.74232,2023-07-04 00:00:00,3895,POINT (-82.61196899414062 43.7423210144043),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10101,101,-82.53009,43.332912,2023-11-20 18:00:00,3896,POINT (-82.53009033203125 43.33291244506836),4304,1263755,18,Phragmites,70667.6635371,1641.58686233,43.3336371863,-82.5300667956
10102,101,-82.53436,43.370876,2023-01-04 18:00:00,3897,POINT (-82.53436279296875 43.37087631225586),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10103,101,-82.62482,43.80251,2023-07-04 18:00:00,3898,POINT (-82.62481689453125 43.80250930786133),2982,751158,18,Phragmites,302848.751582,4266.74221296,43.803574969,-82.6249860318
10104,101,-82.63504,43.830612,2023-07-04 06:00:00,3899,POINT (-82.63504028320312 43.83061218261719),2710,727212,18,Phragmites,1017903.22719,11896.005568,43.8324647105,-82.6353850954
10105,101,-82.53015,43.333286,2023-03-03 12:00:00,3900,POINT (-82.5301513671875 43.33328628540039),4304,1263755,18,Phragmites,70667.6635371,1641.58686233,43.3336371863,-82.5300667956
10106,101,-82.60181,43.637672,2023-07-04 00:00:00,3901,POINT (-82.601806640625 43.637672424316406),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
10109,101,-82.6221,43.79509,2023-07-04 00:00:00,3904,POINT (-82.62210083007812 43.79508972167969),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
1011,10,-83.31659,45.11764,2023-09-12 00:00:00,369,POINT (-83.31658935546875 45.11764144897461),369,188692,18,Phragmites,37000.1767357,902.366928009,45.1177122731,-83.3168796116
10111,101,-83.04205,44.027294,2023-07-30 06:00:00,3906,POINT (-83.04205322265625 44.02729415893555),1519,636261,18,Phragmites,3308676.05433,21578.6492564,44.0250012818,-83.0413526083
10114,101,-82.5365,43.358086,2023-03-04 00:00:00,3909,POINT (-82.5364990234375 43.35808563232422),4300,1232486,18,Phragmites,90858.143066,1641.26286722,43.3575303132,-82.5368813313
10115,101,-82.61087,43.739727,2023-07-04 00:00:00,3910,POINT (-82.61087036132812 43.73972702026367),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10117,101,-82.62253,43.79483,2023-07-04 00:00:00,3912,POINT (-82.62252807617188 43.794830322265625),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10118,101,-82.60153,43.637238,2023-07-04 06:00:00,3913,POINT (-82.60153198242188 43.637237548828125),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
10119,101,-82.5365,43.35828,2023-03-03 12:00:00,3914,POINT (-82.5364990234375 43.358280181884766),4300,1232486,18,Phragmites,90858.143066,1641.26286722,43.3575303132,-82.5368813313
1012,10,-83.54028,45.357746,2023-11-20 00:00:00,370,POINT (-83.540283203125 45.35774612426758),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
10120,101,-82.52936,43.313774,2023-06-04 00:00:00,3915,POINT (-82.52935791015625 43.31377410888672),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10121,101,-82.529175,43.318027,2023-06-04 00:00:00,3916,POINT (-82.5291748046875 43.31802749633789),4306,1280717,18,Phragmites,48794.3453162,1066.90361459,43.3178030829,-82.5293971078
10122,101,-82.52969,43.318188,2023-06-04 06:00:00,3917,POINT (-82.52969360351562 43.31818771362305),4306,1280717,18,Phragmites,48794.3453162,1066.90361459,43.3178030829,-82.5293971078
1013,10,-83.611084,45.362576,2023-07-04 00:00:00,371,POINT (-83.611083984375 45.36257553100586),196,73498,24,Forested Wetland,35641666.9815,141959.974268,45.3609169015,-83.6272751805
1014,10,-83.58215,45.353725,2023-03-10 06:00:00,372,POINT (-83.5821533203125 45.35372543334961),211,81409,23,Shrub Wetland,12086676.545,74549.8196307,45.3452117347,-83.5819892159
1015,10,-83.49039,45.355618,2023-05-02 06:00:00,373,POINT (-83.49038696289062 45.35561752319336),203,75147,23,Shrub Wetland,2218065.25951,20098.900505,45.3530208369,-83.4899152567
1016,10,-83.478455,45.344616,2023-05-02 06:00:00,374,POINT (-83.47845458984375 45.3446159362793),207,78807,23,Shrub Wetland,1873344.40371,13613.7249707,45.3447330367,-83.4807045037
1018,10,-83.58438,45.35323,2023-11-22 18:00:00,376,POINT (-83.58438110351562 45.35322952270508),211,81409,23,Shrub Wetland,12086676.545,74549.8196307,45.3452117347,-83.5819892159
1019,10,-83.29764,45.088215,2023-09-11 12:00:00,377,POINT (-83.29763793945312 45.08821487426758),423,199201,18,Phragmites,210230.894179,3610.06274268,45.0889680837,-83.2979858516
1020,10,-83.54535,45.35676,2023-07-05 12:00:00,378,POINT (-83.54534912109375 45.35675811767578),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
10200,102,-82.62454,43.804207,2023-07-04 18:00:00,3918,POINT (-82.62454223632812 43.80420684814453),2982,751158,18,Phragmites,302848.751582,4266.74221296,43.803574969,-82.6249860318
10201,102,-82.63498,43.830612,2023-07-04 06:00:00,3919,POINT (-82.63497924804688 43.83061218261719),2710,727212,18,Phragmites,1017903.22719,11896.005568,43.8324647105,-82.6353850954
10202,102,-82.535,43.369,2023-01-04 18:00:00,3920,POINT (-82.53500366210938 43.36899948120117),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10204,102,-82.61148,43.739162,2023-07-04 06:00:00,3922,POINT (-82.61148071289062 43.73916244506836),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10205,102,-82.59952,43.599728,2023-07-04 06:00:00,3923,POINT (-82.59951782226562 43.599727630615234),4246,966892,18,Phragmites,151425.945597,1805.19616196,43.5992299208,-82.5993452389
10206,102,-82.530304,43.333866,2023-03-03 12:00:00,3924,POINT (-82.53030395507812 43.333866119384766),4304,1263755,18,Phragmites,70667.6635371,1641.58686233,43.3336371863,-82.5300667956
10208,102,-82.53415,43.37097,2023-01-04 18:00:00,3926,POINT (-82.53414916992188 43.3709716796875),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10209,102,-82.534,43.37101,2023-06-03 18:00:00,3927,POINT (-82.53399658203125 43.371009826660156),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10211,102,-82.62863,43.811897,2023-07-04 00:00:00,3929,POINT (-82.62863159179688 43.81189727783203),2891,744164,18,Phragmites,457637.170319,6155.38206531,43.8124776969,-82.6291984813
10212,102,-82.53433,43.3703,2023-01-04 18:00:00,3930,POINT (-82.53433227539062 43.37030029296875),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10213,102,-82.8602,44.044636,2023-07-14 00:00:00,3931,POINT (-82.86019897460938 44.04463577270508),1470,627618,18,Phragmites,13175321.9903,96448.3195328,44.0585287625,-82.8992577071
10215,102,-82.60138,43.642006,2023-07-04 06:00:00,3933,POINT (-82.60137939453125 43.642005920410156),4107,916496,18,Phragmites,331454.344258,4431.16929931,43.6417121994,-82.6017809001
10217,102,-82.62219,43.795017,2023-07-04 00:00:00,3935,POINT (-82.6221923828125 43.79501724243164),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10219,102,-82.61154,43.741596,2023-07-04 06:00:00,3937,POINT (-82.61154174804688 43.74159622192383),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
1022,10,-83.54498,45.357265,2023-01-01 12:00:00,380,POINT (-83.54498291015625 45.35726547241211),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
10220,102,-82.52927,43.313644,2023-06-04 00:00:00,3938,POINT (-82.52926635742188 43.31364440917969),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10222,102,-82.624725,43.8035,2023-07-04 18:00:00,3940,POINT (-82.62472534179688 43.80350112915039),2982,751158,18,Phragmites,302848.751582,4266.74221296,43.803574969,-82.6249860318
10223,102,-82.62402,43.80305,2023-07-22 12:00:00,3941,POINT (-82.6240234375 43.80305099487305),2982,751158,18,Phragmites,302848.751582,4266.74221296,43.803574969,-82.6249860318
1023,10,-83.54544,45.357437,2023-01-02 00:00:00,381,POINT (-83.54544067382812 45.35743713378906),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
10302,103,-82.5293,43.313572,2023-06-04 00:00:00,3944,POINT (-82.529296875 43.31357192993164),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10303,103,-82.52936,43.32395,2023-12-03 00:00:00,3945,POINT (-82.52935791015625 43.323951721191406),4305,1274393,18,Phragmites,33651.2711177,1231.14521994,43.3232337961,-82.5294741424
10306,103,-82.74573,43.993332,2023-07-13 06:00:00,3948,POINT (-82.7457275390625 43.99333190917969),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10307,103,-82.61276,43.743317,2023-07-04 06:00:00,3949,POINT (-82.61276245117188 43.743316650390625),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10308,103,-82.60159,43.63889,2023-07-03 18:00:00,3950,POINT (-82.60159301757812 43.63888931274414),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
10310,103,-82.53418,43.370453,2023-01-04 18:00:00,3952,POINT (-82.5341796875 43.370452880859375),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10311,103,-82.62146,43.79674,2023-07-07 06:00:00,3953,POINT (-82.6214599609375 43.7967414855957),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10313,103,-82.59833,43.61402,2023-07-03 12:00:00,3955,POINT (-82.59832763671875 43.61402130126953),4199,953078,18,Phragmites,417262.682407,5743.35663478,43.6128081128,-82.5993528893
10315,103,-82.61136,43.73916,2023-07-04 06:00:00,3957,POINT (-82.61135864257812 43.739158630371094),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10316,103,-82.62894,43.811905,2023-07-04 00:00:00,3958,POINT (-82.62893676757812 43.81190490722656),2891,744164,18,Phragmites,457637.170319,6155.38206531,43.8124776969,-82.6291984813
10320,103,-82.65463,43.869804,2023-07-10 06:00:00,3962,POINT (-82.65463256835938 43.86980438232422),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10322,103,-82.538574,43.40542,2023-08-06 00:00:00,3964,POINT (-82.53857421875 43.405418395996094),4288,1179643,18,Phragmites,662927.506588,8780.90818643,43.4031997999,-82.5392916794
10323,103,-82.76523,44.00838,2023-07-21 12:00:00,3965,POINT (-82.76522827148438 44.00838088989258),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10326,103,-82.62207,43.795143,2023-07-04 00:00:00,3968,POINT (-82.6220703125 43.795143127441406),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10330,103,-82.62332,43.794403,2023-07-04 00:00:00,3972,POINT (-82.62332153320312 43.794403076171875),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10404,104,-82.59543,43.58669,2023-07-04 00:00:00,3977,POINT (-82.59542846679688 43.58668899536133),4250,983283,18,Phragmites,156473.728188,2790.21170279,43.5868286124,-82.5958608255
10407,104,-82.85925,44.04371,2023-07-14 00:00:00,3980,POINT (-82.8592529296875 44.04370880126953),1470,627618,18,Phragmites,13175321.9903,96448.3195328,44.0585287625,-82.8992577071
10409,104,-82.52994,43.31512,2023-03-03 18:00:00,3982,POINT (-82.52993774414062 43.315120697021484),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10413,104,-82.611206,43.740738,2023-07-04 00:00:00,3986,POINT (-82.6112060546875 43.74073791503906),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10415,104,-82.529205,43.31439,2023-06-04 00:00:00,3988,POINT (-82.52920532226562 43.314388275146484),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10416,104,-82.609985,43.73722,2023-07-04 06:00:00,3989,POINT (-82.6099853515625 43.737220764160156),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10419,104,-82.538605,43.40499,2023-08-06 00:00:00,3992,POINT (-82.53860473632812 43.404991149902344),4288,1179643,18,Phragmites,662927.506588,8780.90818643,43.4031997999,-82.5392916794
10421,104,-82.623535,43.793427,2023-07-04 00:00:00,3994,POINT (-82.62353515625 43.793426513671875),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10423,104,-82.53555,43.364788,2023-03-03 06:00:00,3996,POINT (-82.53555297851562 43.36478805541992),4296,1224080,18,Phragmites,227145.469016,3611.69285775,43.3660356392,-82.5360144639
10425,104,-82.628296,43.81009,2023-07-09 18:00:00,3998,POINT (-82.6282958984375 43.810089111328125),2891,744164,18,Phragmites,457637.170319,6155.38206531,43.8124776969,-82.6291984813
10426,104,-82.61481,43.77835,2023-07-03 18:00:00,3999,POINT (-82.61480712890625 43.778350830078125),3261,779670,18,Phragmites,930423.413718,10420.8516572,43.7765447804,-82.61436557
10427,104,-82.63394,43.830673,2023-07-04 06:00:00,4000,POINT (-82.63394165039062 43.83067321777344),2710,727212,18,Phragmites,1017903.22719,11896.005568,43.8324647105,-82.6353850954
10428,104,-82.61502,43.777637,2023-07-04 00:00:00,4001,POINT (-82.61502075195312 43.77763748168945),3261,779670,18,Phragmites,930423.413718,10420.8516572,43.7765447804,-82.61436557
10429,104,-82.6561,43.86847,2023-07-13 00:00:00,4002,POINT (-82.65609741210938 43.86846923828125),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10430,104,-82.65314,43.86516,2023-07-13 00:00:00,4003,POINT (-82.65313720703125 43.86516189575195),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10431,104,-82.61142,43.740963,2023-07-04 06:00:00,4004,POINT (-82.61141967773438 43.740962982177734),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10432,104,-82.59732,43.624504,2023-07-03 12:00:00,4005,POINT (-82.59732055664062 43.62450408935547),4149,936755,18,Phragmites,398755.477836,4512.51881403,43.6241101544,-82.5976054687
10433,104,-82.59717,43.623634,2023-07-03 12:00:00,4006,POINT (-82.59716796875 43.623634338378906),4149,936755,18,Phragmites,398755.477836,4512.51881403,43.6241101544,-82.5976054687
10435,104,-82.616974,43.76263,2023-07-13 00:00:00,4008,POINT (-82.61697387695312 43.762630462646484),3361,794500,18,Phragmites,2081250.88047,18875.0637708,43.7614476855,-82.6173597452
10438,104,-82.684265,43.901905,2023-07-13 06:00:00,4011,POINT (-82.68426513671875 43.90190505981445),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10500,105,-82.6109,43.737846,2023-07-05 00:00:00,4012,POINT (-82.61090087890625 43.73784637451172),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10502,105,-82.60129,43.638695,2023-07-03 18:00:00,4014,POINT (-82.60128784179688 43.638694763183594),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
10504,105,-82.605865,43.70942,2023-07-04 06:00:00,4016,POINT (-82.60586547851562 43.70941925048828),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
10505,105,-82.60135,43.63896,2023-07-03 18:00:00,4017,POINT (-82.60134887695312 43.63896179199219),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
10506,105,-82.6463,43.85604,2023-07-12 18:00:00,4018,POINT (-82.64630126953125 43.856040954589844),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10507,105,-82.52942,43.31789,2023-03-03 12:00:00,4019,POINT (-82.5294189453125 43.31789016723633),4306,1280717,18,Phragmites,48794.3453162,1066.90361459,43.3178030829,-82.5293971078
10510,105,-82.61319,43.772057,2023-07-07 06:00:00,4022,POINT (-82.61318969726562 43.772056579589844),3285,782115,18,Phragmites,427355.21314,4921.15759752,43.7708807508,-82.6151415653
10511,105,-82.598694,43.613068,2023-07-03 12:00:00,4023,POINT (-82.59869384765625 43.613067626953125),4199,953078,18,Phragmites,417262.682407,5743.35663478,43.6128081128,-82.5993528893
10513,105,-82.534424,43.374996,2023-12-02 00:00:00,4025,POINT (-82.534423828125 43.374996185302734),4293,1209175,18,Phragmites,18508.1665725,574.182094848,43.374876187,-82.5344088191
10515,105,-82.62186,43.795364,2023-07-04 00:00:00,4027,POINT (-82.62185668945312 43.79536437988281),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10518,105,-82.52905,43.313934,2023-06-04 00:00:00,4030,POINT (-82.529052734375 43.313934326171875),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10519,105,-82.597595,43.619606,2023-07-05 00:00:00,4031,POINT (-82.59759521484375 43.619606018066406),4166,943158,18,Phragmites,104315.759124,1887.14083843,43.6193344294,-82.5978399453
10523,105,-82.5293,43.323933,2023-12-03 00:00:00,4035,POINT (-82.529296875 43.32393264770508),4305,1274393,18,Phragmites,33651.2711177,1231.14521994,43.3232337961,-82.5294741424
10524,105,-82.529755,43.314392,2023-03-03 12:00:00,4036,POINT (-82.52975463867188 43.31439208984375),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10525,105,-82.5293,43.31374,2023-03-03 12:00:00,4037,POINT (-82.529296875 43.31373977661133),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10529,105,-82.60147,43.64251,2023-07-04 18:00:00,4041,POINT (-82.60147094726562 43.64250946044922),4107,916496,18,Phragmites,331454.344258,4431.16929931,43.6417121994,-82.6017809001
10530,105,-82.52939,43.323822,2023-12-03 00:00:00,4042,POINT (-82.52938842773438 43.323822021484375),4305,1274393,18,Phragmites,33651.2711177,1231.14521994,43.3232337961,-82.5294741424
10531,105,-82.52954,43.315914,2023-03-03 12:00:00,4043,POINT (-82.529541015625 43.315914154052734),4307,1284516,18,Phragmites,124509.693687,2298.20712544,43.3145644968,-82.5295529775
10532,105,-82.62335,43.7944,2023-07-04 00:00:00,4044,POINT (-82.62335205078125 43.79439926147461),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10533,105,-82.61163,43.74081,2023-07-05 00:00:00,4045,POINT (-82.61163330078125 43.74081039428711),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10534,105,-82.59039,43.571976,2023-07-03 18:00:00,4046,POINT (-82.59039306640625 43.57197570800781),4254,999005,18,Phragmites,437454.328738,7139.97608327,43.5747396119,-82.5915447015
10600,106,-82.5921,43.576843,2023-07-04 00:00:00,4047,POINT (-82.59210205078125 43.57684326171875),4254,999005,18,Phragmites,437454.328738,7139.97608327,43.5747396119,-82.5915447015
10601,106,-82.64679,43.85493,2023-07-10 00:00:00,4048,POINT (-82.64678955078125 43.85493087768555),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10602,106,-82.62305,43.793564,2023-07-12 18:00:00,4049,POINT (-82.623046875 43.79356384277344),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
10604,106,-82.69458,43.924362,2023-07-13 06:00:00,4051,POINT (-82.694580078125 43.92436218261719),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10605,106,-82.60666,43.711155,2023-07-08 06:00:00,4052,POINT (-82.60665893554688 43.71115493774414),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
10606,106,-82.59338,43.580933,2023-07-04 00:00:00,4053,POINT (-82.5933837890625 43.5809326171875),4252,991583,18,Phragmites,134601.211075,2462.25237185,43.5803850606,-82.5934446789
10609,106,-82.74466,43.99246,2023-07-13 06:00:00,4056,POINT (-82.74465942382812 43.99245834350586),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10610,106,-82.59885,43.626934,2023-07-05 00:00:00,4057,POINT (-82.59884643554688 43.62693405151367),4141,932372,18,Phragmites,60570.4250007,1066.57750438,43.6272668599,-82.5985658799
10611,106,-82.52927,43.317295,2023-03-03 06:00:00,4058,POINT (-82.52926635742188 43.31729507446289),4306,1280717,18,Phragmites,48794.3453162,1066.90361459,43.3178030829,-82.5293971078
10612,106,-82.52985,43.33411,2023-01-04 18:00:00,4059,POINT (-82.52984619140625 43.334110260009766),4304,1263755,18,Phragmites,70667.6635371,1641.58686233,43.3336371863,-82.5300667956
10613,106,-82.59186,43.57552,2023-07-04 00:00:00,4060,POINT (-82.59185791015625 43.57551956176758),4254,999005,18,Phragmites,437454.328738,7139.97608327,43.5747396119,-82.5915447015
10614,106,-82.52951,43.31803,2023-12-02 18:00:00,4061,POINT (-82.52951049804688 43.318031311035156),4306,1280717,18,Phragmites,48794.3453162,1066.90361459,43.3178030829,-82.5293971078
10615,106,-82.59216,43.577118,2023-07-04 00:00:00,4062,POINT (-82.5921630859375 43.577117919921875),4254,999005,18,Phragmites,437454.328738,7139.97608327,43.5747396119,-82.5915447015
10616,106,-82.613434,43.74332,2023-07-07 06:00:00,4063,POINT (-82.61343383789062 43.74332046508789),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10617,106,-82.62454,43.804134,2023-07-06 18:00:00,4064,POINT (-82.62454223632812 43.804134368896484),2982,751158,18,Phragmites,302848.751582,4266.74221296,43.803574969,-82.6249860318
10618,106,-82.59323,43.58042,2023-07-04 00:00:00,4065,POINT (-82.59323120117188 43.580421447753906),4252,991583,18,Phragmites,134601.211075,2462.25237185,43.5803850606,-82.5934446789
10619,106,-82.59885,43.599308,2023-07-04 06:00:00,4066,POINT (-82.59884643554688 43.599308013916016),4246,966892,18,Phragmites,151425.945597,1805.19616196,43.5992299208,-82.5993452389
