group_number,group_id,longitude,latitude,time,particles,geometry,index_right,ID,GRIDCODE,Wetland,Shape_Area,Shape_Len,start_lat,start_lon
7545,75,-82.6051,43.68884,2023-01-05 00:00:00,2999,POINT (-82.6051025390625 43.688838958740234),3987,882381,18,Phragmites,2611251.22453,26671.6532135,43.6681263306,-82.6049517939
7546,75,-82.60547,43.68178,2023-01-04 18:00:00,3000,POINT (-82.60546875 43.68178176879883),3987,882381,18,Phragmites,2611251.22453,26671.6532135,43.6681263306,-82.6049517939
7549,75,-82.660126,43.87142,2023-09-28 00:00:00,3003,POINT (-82.66012573242188 43.871421813964844),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7550,75,-82.60791,43.705162,2023-01-04 18:00:00,3004,POINT (-82.60791015625 43.705162048339844),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7551,75,-82.65988,43.870827,2023-09-28 00:00:00,3005,POINT (-82.65988159179688 43.870826721191406),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7552,75,-82.674255,43.880383,2023-09-28 00:00:00,3006,POINT (-82.67425537109375 43.8803825378418),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7553,75,-82.634705,43.832428,2023-09-28 00:00:00,3007,POINT (-82.63470458984375 43.832427978515625),2710,727212,18,Phragmites,1017903.22719,11896.005568,43.8324647105,-82.6353850954
7554,75,-82.662964,43.873035,2023-09-28 00:00:00,3008,POINT (-82.6629638671875 43.8730354309082),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7555,75,-82.60455,43.67191,2023-01-04 06:00:00,3009,POINT (-82.60455322265625 43.67190933227539),3987,882381,18,Phragmites,2611251.22453,26671.6532135,43.6681263306,-82.6049517939
7556,75,-82.61093,43.723873,2023-07-04 00:00:00,3010,POINT (-82.61093139648438 43.723873138427734),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
7557,75,-82.60635,43.70852,2023-07-02 18:00:00,3011,POINT (-82.60635375976562 43.708518981933594),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7558,75,-82.658295,43.869465,2023-09-28 00:00:00,3012,POINT (-82.65829467773438 43.86946487426758),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7559,75,-82.66644,43.875412,2023-09-28 00:00:00,3013,POINT (-82.66644287109375 43.87541198730469),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7560,75,-82.60449,43.678623,2023-01-03 06:00:00,3014,POINT (-82.6044921875 43.67862319946289),3987,882381,18,Phragmites,2611251.22453,26671.6532135,43.6681263306,-82.6049517939
7601,76,-83.50864,43.706436,2023-01-01 00:00:00,3016,POINT (-83.50863647460938 43.70643615722656),3596,833974,17,Typha,5744016.34275,21981.3307543,43.7005854072,-83.5127602322
7602,76,-83.50665,43.70844,2023-01-01 00:00:00,3017,POINT (-83.50665283203125 43.708438873291016),3561,830453,18,Phragmites,6374623.30363,35351.3797428,43.7087614257,-83.5046850954
7603,76,-83.50665,43.706436,2023-01-01 00:00:00,3018,POINT (-83.50665283203125 43.70643615722656),3561,830453,18,Phragmites,6374623.30363,35351.3797428,43.7087614257,-83.5046850954
7604,76,-83.50464,43.706436,2023-01-01 00:00:00,3019,POINT (-83.504638671875 43.70643615722656),3561,830453,18,Phragmites,6374623.30363,35351.3797428,43.7087614257,-83.5046850954
7605,76,-83.502655,43.706436,2023-01-01 00:00:00,3020,POINT (-83.50265502929688 43.70643615722656),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7606,76,-83.50064,43.706436,2023-01-01 00:00:00,3021,POINT (-83.50064086914062 43.70643615722656),3561,830453,18,Phragmites,6374623.30363,35351.3797428,43.7087614257,-83.5046850954
7608,76,-83.512634,43.706436,2023-01-01 00:00:00,3023,POINT (-83.51263427734375 43.70643615722656),3539,825648,15,Emergent Wetland,593570.117525,7545.13161139,43.7072109427,-83.51443325
7609,76,-83.51465,43.70244,2023-01-01 00:00:00,3024,POINT (-83.5146484375 43.70243835449219),3566,831031,14,Aquatic Bed,8900199.27932,27967.9284922,43.7087664182,-83.5130230041
7610,76,-83.51465,43.704437,2023-01-01 00:00:00,3025,POINT (-83.5146484375 43.704437255859375),3566,831031,14,Aquatic Bed,8900199.27932,27967.9284922,43.7087664182,-83.5130230041
7611,76,-83.512634,43.704437,2023-01-01 00:00:00,3026,POINT (-83.51263427734375 43.704437255859375),3566,831031,14,Aquatic Bed,8900199.27932,27967.9284922,43.7087664182,-83.5130230041
7612,76,-83.50064,43.70244,2023-01-01 00:00:00,3027,POINT (-83.50064086914062 43.70243835449219),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7613,76,-83.50665,43.70244,2023-01-01 00:00:00,3028,POINT (-83.50665283203125 43.70243835449219),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7614,76,-83.50864,43.70244,2023-01-01 00:00:00,3029,POINT (-83.50863647460938 43.70243835449219),3596,833974,17,Typha,5744016.34275,21981.3307543,43.7005854072,-83.5127602322
7615,76,-83.51065,43.704437,2023-01-01 00:00:00,3030,POINT (-83.51065063476562 43.704437255859375),3566,831031,14,Aquatic Bed,8900199.27932,27967.9284922,43.7087664182,-83.5130230041
7616,76,-83.49866,43.70244,2023-01-01 00:00:00,3031,POINT (-83.4986572265625 43.70243835449219),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7617,76,-83.51065,43.70244,2023-01-01 00:00:00,3032,POINT (-83.51065063476562 43.70243835449219),3566,831031,14,Aquatic Bed,8900199.27932,27967.9284922,43.7087664182,-83.5130230041
7618,76,-83.512634,43.70244,2023-01-01 00:00:00,3033,POINT (-83.51263427734375 43.70243835449219),3566,831031,14,Aquatic Bed,8900199.27932,27967.9284922,43.7087664182,-83.5130230041
7619,76,-83.502655,43.70244,2023-01-01 00:00:00,3034,POINT (-83.50265502929688 43.70243835449219),3561,830453,18,Phragmites,6374623.30363,35351.3797428,43.7087614257,-83.5046850954
7620,76,-83.51065,43.706436,2023-01-01 00:00:00,3035,POINT (-83.51065063476562 43.70643615722656),3566,831031,14,Aquatic Bed,8900199.27932,27967.9284922,43.7087664182,-83.5130230041
7621,76,-83.49866,43.70044,2023-01-01 00:00:00,3036,POINT (-83.4986572265625 43.700439453125),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7622,76,-83.50464,43.70244,2023-01-01 00:00:00,3037,POINT (-83.504638671875 43.70243835449219),3561,830453,18,Phragmites,6374623.30363,35351.3797428,43.7087614257,-83.5046850954
7623,76,-83.502655,43.70044,2023-01-01 00:00:00,3038,POINT (-83.50265502929688 43.700439453125),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7624,76,-83.502655,43.698437,2023-01-01 00:00:00,3039,POINT (-83.50265502929688 43.69843673706055),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7625,76,-83.502655,43.704437,2023-01-01 00:00:00,3040,POINT (-83.50265502929688 43.704437255859375),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7626,76,-83.50464,43.704437,2023-01-01 00:00:00,3041,POINT (-83.504638671875 43.704437255859375),3561,830453,18,Phragmites,6374623.30363,35351.3797428,43.7087614257,-83.5046850954
